sector,Name,symbol,code,year,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification
Academic & Education,Global Education Communities,GEC,A&E 01,2013,0.63,0.61,0.2,-0.1,0.63,-0.1244,-0.0595,0.7228,-0.0373,-0.032,0.6541,0.3459,1.8909,44.83,0.97,-18.46,-0.06,33.57,4.63,0.72,-4.52,"-1,507.171",-13.7,-6.2,-4.0,0.9,0.9,-5.9,1.1,0.0,-3.1,0,0
Academic & Education,Global Education Communities,GEC,A&E 01,2014,0.78,0.76,0.16,-0.25,0.78,0.2191,0.1669,0.7415,0.1274,-0.028,0.4352,0.5648,0.7705,-131.62,1.65,-15.33,-0.24,31.24,4.22,0.74,-8.18,"-1,183.601",-82.4,-9.0,-2.6,0.7,0.5,-14.3,1.0,0.0,-0.9,6,0
Academic & Education,Global Education Communities,GEC,A&E 01,2015,0.27,0.26,0.05,0.08,0.27,0.0288,0.0323,0.3989,0.0744,0.016,0.5522,0.4478,1.233,-71.82,4.54,64.40,0.07,27.31,4.03,0.4,-1.02,691.627,-40.0,-22.7,16.6,1.0,1.9,-18.7,1.1,0.0,-0.7,4,0
Academic & Education,Global Education Communities,GEC,A&E 01,2016,0.76,0.73,0.27,-0.04,0.76,0.0711,0.1082,0.3529,0.09,0.057,0.4632,0.5368,0.8629,-79.23,0.04,-89.90,-0.01,46.20,5.31,0.35,-9.04,-527.312,33.8,54.3,84.6,1.1,2.4,6.4,1.5,0.0,2.9,4,1
Academic & Education,Global Education Communities,GEC,A&E 01,2017,0.32,0.31,0.12,0.18,0.32,0.031,0.0446,0.3209,0.0496,0.033,0.5388,0.4612,1.1685,-111.70,1.09,19.86,0.12,41.31,5.78,0.32,-1.32,"4,528.612",84.0,162.1,28.4,1.2,3.4,30.6,1.8,0.0,1.9,4,1
Academic & Education,Global Education Communities,GEC,A&E 01,2018,0.75,0.74,0.45,0.27,0.75,0.1162,0.2662,0.2198,0.1331,0.25,0.4964,0.5036,0.9856,-21.73,1.95,12.69,0.12,38.32,6.08,0.22,-4.02,"13,337",23.8,28.0,15.1,1.0,3.6,5.5,1.5,0.0,4.1,7,2
Academic & Education,Global Education Communities,GEC,A&E 01,2019,0.62,0.61,0.19,-0.12,0.62,0.0135,0.0368,0.1822,0.0383,0.034,0.5017,0.4983,1.007,-3.38,0.74,32.62,-0.05,43.03,5.71,0.18,-2.28,"5,994",51.0,88.4,63.7,0.9,3.9,4.5,0.9,0.0,3.8,1,2
Academic & Education,Global Education Communities,GEC,A&E 01,2020,0.34,0.34,0.14,0.05,0.34,0.0068,0.0196,0.1381,-0.0105,0.017,0.6012,0.3988,1.5073,-0.22,0.69,46.86,0.03,39.08,4.35,0.14,-0.59,"5,809",41.3,71.9,-26.1,0.9,5.5,7.1,0.8,0.0,2.4,3,1
Academic & Education,Global Education Communities,GEC,A&E 01,2021,0.34,0.34,0.09,0.08,0.34,0.0231,0.0773,0.1173,0.01,0.066,0.6078,0.3922,1.5495,-1.60,1.16,87.92,0.05,30.13,5.15,0.12,-0.45,"3,588",66.4,137.8,-49.0,0.9,7.1,19.5,0.8,0.0,2.2,6,1
Academic & Education,Global Education Communities,GEC,A&E 01,2022,0.15,0.15,0.04,0.03,0.15,-0.0946,-0.2094,0.1533,-0.1167,-0.22,0.6608,0.3392,1.9484,3.89,0.40,-17.62,0.02,42.28,8.21,0.15,-0.38,"-17,913",62.3,89.4,48.1,1.0,6.7,-22.1,0.9,0.0,0.6,4,0
Basic Material,Agnico Eagle Mines,AEM,BM 01,2013,3.79,2.15,0.66,2.29,3.79,-0.2527,-0.4191,0.3577,-0.1499,-4.22,0.4067,0.5933,0.6855,14.42,2.62,3.07,0.26,2.50,24.34,0.36,2.79,644.544,8.8,17.2,-22.3,1.2,3.2,25.9,1.3,0.4674,4.8,3,2
Basic Material,Agnico Eagle Mines,AEM,BM 01,2014,2.73,1.39,0.53,2.01,2.73,0.0204,0.0437,0.2786,0.0122,0.49,0.4025,0.5975,0.6737,-3.97,0.82,3.78,0.24,2.24,31.76,0.28,3.29,840.003,9.1,-41.2,24.7,1.2,3.5,-7.9,1.3,0.3706,5.3,5,2
Basic Material,Agnico Eagle Mines,AEM,BM 01,2015,2.66,1.18,0.4,1.98,2.66,0.0059,0.0124,0.2971,0.0037,0.16,0.3804,0.6196,0.6139,-2.23,0.78,3.32,0.24,2.14,257.38,0.3,3.83,"1,062.305",9.1,45.7,31.9,1.2,3.3,303.4,1.4,0.444,5.3,6,2
Basic Material,Agnico Eagle Mines,AEM,BM 01,2016,2.9,1.86,1.27,1.84,2.9,0.0354,0.0743,0.3008,0.0223,0.95,0.368,0.632,0.5822,-5.10,1.61,2.76,0.3,2.31,261.24,0.3,2.65,"1,274.002",11.2,36.8,21.1,1.7,4.7,117.0,2.1,0.5371,5.9,8,2
Basic Material,Agnico Eagle Mines,AEM,BM 01,2017,4.38,2.88,1.9,2.3,4.38,0.0487,0.1074,0.2851,0.0306,1.31,0.3711,0.6289,0.59,-6.90,1.62,3.10,0.26,2.11,186.89,0.29,1.99,"1,184.516",11.2,24.2,180.5,1.8,5.1,40.3,2.2,0.5532,6.2,6,2
Basic Material,Agnico Eagle Mines,AEM,BM 01,2018,2.97,1.6,0.84,1.68,2.97,-0.0718,-0.1491,0.279,-0.0416,-1.91,0.4206,0.5794,0.7259,2.53,1.61,4.36,0.18,2.32,217.92,0.28,3.08,"1,032.923",13.3,42.4,-20.6,1.6,4.8,90.4,1.9,0.6006,5.0,2,2
Basic Material,Agnico Eagle Mines,AEM,BM 01,2019,1.42,0.67,0.42,1.14,1.42,0.0926,0.1897,0.2838,0.0538,2.59,0.4185,0.5815,0.7196,-9.51,8.62,3.57,0.24,2.13,299.88,0.28,7.64,"1,337.759",18.3,62.9,-49.4,2.5,7.1,-58.4,3.1,0.9089,5.4,7,2
Basic Material,Agnico Eagle Mines,AEM,BM 01,2020,2.42,1.2,0.78,2.31,2.42,0.09,0.163,0.3264,0.0532,2.7,0.4089,0.5911,0.6918,-10.40,2.61,2.50,0.3,2.22,264.44,0.33,4.29,"1,997.646",13.3,16.2,81.4,2.6,6.2,26.8,3.1,1.7814,5.9,7,2
Basic Material,Agnico Eagle Mines,AEM,BM 01,2021,1.71,0.56,0.24,1.77,1.71,0.0937,0.1452,0.3788,0.055,2.92,0.4127,0.5873,0.7027,-13.27,13.32,2.35,0.32,1.98,285.69,0.38,7.16,"2,267.698",7.5,12.2,36.1,1.9,3.7,19.5,2.2,1.7703,5.8,6,2
Basic Material,Agnico Eagle Mines,AEM,BM 01,2022,2.3,1.03,0.7,2.22,2.3,0.0413,0.1167,0.2444,0.0285,2.07,0.3087,0.6913,0.4466,-21.43,6.69,2.91,0.29,2.13,669.18,0.24,4.65,"3,374.005",11.5,20.2,87.5,1.6,5.0,42.2,1.7,2.1663,6.4,6,2
Basic Material,Alamos Gold,AGI,BM 02,2013,2.56,1.82,1.25,0.55,2.56,-0.0989,-0.7766,0.0924,-0.0718,-0.75,0.2739,0.7261,0.3773,88.88,9.25,-17.14,0.09,1.41,224.95,0.09,1.28,-41.812,97.0,-16.8,3.1,0.5,3.9,-4.4,0.5,0.0,5.7,4,2
Basic Material,Alamos Gold,AGI,BM 02,2014,3.54,2.13,1.71,1.49,3.54,-0.104,-0.5883,0.1263,-0.0743,-1.56,0.2851,0.7149,0.3988,9.56,0.28,6.85,0.12,2.46,165.73,0.13,2.18,109.901,24.4,-10.6,-6.3,0.5,3.9,-4.9,0.5,0.0,5.2,5,2
Basic Material,Alamos Gold,AGI,BM 02,2015,4.84,3.57,2.83,0.6,4.84,-0.2952,-1.4331,0.1442,-0.2067,-3.64,0.2997,0.7003,0.428,23.08,1.95,8.82,0.08,1.88,198.33,0.14,0.93,116.132,10.1,-3.8,-19.7,0.4,2.7,-1.5,0.5,0.0,4.8,5,2
Basic Material,Alamos Gold,AGI,BM 02,2016,4.56,3.24,2.53,1.36,4.56,-0.0102,-0.0371,0.1935,-0.0072,-0.091,0.294,0.706,0.4165,-0.65,4.29,5.22,0.19,2.35,219.20,0.19,1.36,188.398,14.0,105.8,-212.1,0.9,4.0,-31.9,1.0,0.02686,5.3,6,2
Basic Material,Alamos Gold,AGI,BM 02,2017,4.0,2.58,1.77,1.44,4.0,0.0099,0.049,0.1635,0.008,0.11,0.1925,0.8075,0.2384,-4.36,0.48,3.52,0.26,2.05,169.63,0.16,1.60,228.306,15.0,55.9,-51.8,1.2,4.6,236.9,1.2,0.02514,7.3,6,2
Basic Material,Alamos Gold,AGI,BM 02,2018,2.93,2.1,1.56,1.62,2.93,-0.0279,-0.1114,0.1992,-0.0222,-0.25,0.2047,0.7953,0.2574,11.80,30.13,4.65,0.32,4.28,283.43,0.2,2.56,196.557,5.6,26.1,34.6,0.4,1.8,-242.6,0.5,0.0273,6.6,4,2
Basic Material,Alamos Gold,AGI,BM 02,2019,3.1,2.1,1.44,2.05,3.1,0.0357,0.1407,0.2011,0.0283,0.32,0.2064,0.7936,0.2602,-52.56,44.90,2.42,0.37,2.80,247.70,0.2,2.56,376.432,11.0,65.0,-47.2,0.8,3.3,-176.0,0.9,0.05194,7.0,8,2
Basic Material,Alamos Gold,AGI,BM 02,2020,3.22,2.21,1.5,2.51,3.22,0.0506,0.1928,0.2057,0.0397,0.47,0.2159,0.7841,0.2753,-51.75,76.76,2.02,0.47,2.16,283.30,0.21,2.29,493.572,9.3,16.5,-103.1,1.1,4.5,32.6,1.2,0.1018,7.2,8,2
Basic Material,Alamos Gold,AGI,BM 02,2021,2.92,1.65,1.1,2.26,2.92,-0.0244,-0.081,0.2274,-0.0184,-0.21,0.2446,0.7554,0.3238,-1.51,75.85,2.16,0.4,1.82,300.09,0.23,2.73,518.584,6.3,10.3,-206.2,1.0,3.3,-156.3,1.1,0.1265,6.5,5,2
Basic Material,Alamos Gold,AGI,BM 02,2022,2.42,1.14,0.71,1.64,2.42,0.0136,0.0452,0.2235,0.0101,0.13,0.2594,0.7406,0.3503,-18.96,49.51,2.97,0.31,1.86,325.56,0.22,3.17,434.889,15.6,33.5,-118.1,1.8,6.1,139.4,1.9,0.1354,6.1,4,2
Basic Material,Allkem,AKE,BM 03,2013,2.36,1.61,0.99,-0.11,2.36,0.5194,5.42,0.0823,0.4456,0.82,0.1409,0.8591,0.1641,132.40,4.87,-2.73,-0.04,2.13,4.05,0.08,1.22,-10.664,-12.7,-12.6,-3.6,0.6,9.0,1.5,0.8,0.0,11.0,4,2
Basic Material,Allkem,AKE,BM 03,2014,3.69,3.18,2.45,0.01,3.69,-0.0342,-0.2356,0.1237,-0.0297,-0.043,0.1477,0.8523,0.1733,-49.83,0.30,-3.77,0.0,3.80,3.95,0.12,0.80,-7.37,-29.3,-27.0,-22.0,1.7,11.9,-60.0,1.9,0.0,11.4,5,2
Basic Material,Allkem,AKE,BM 03,2015,1.37,0.87,0.43,-0.46,1.37,-0.0052,-0.0435,0.1001,-0.0045,-0.0076,0.1586,0.8414,0.1885,0.68,4.55,-3.21,-0.25,2.24,3.86,0.1,3.08,-11.95,-28.1,-24.9,-31.5,1.5,14.4,-206.4,1.5,0.0,10.0,2,2
Basic Material,Allkem,AKE,BM 03,2016,3.93,3.42,2.82,-0.46,3.93,-0.1156,-1.41,0.0719,-0.1016,-0.15,0.1223,0.8777,0.1394,-16.59,11.07,-2.46,-0.22,2.24,2.29,0.07,0.42,-13.926,-72.5,-62.5,-53.6,3.9,42.9,-34.2,3.9,0.0,12.4,3,2
Basic Material,Allkem,AKE,BM 03,2017,8.64,8.03,4.87,-0.61,8.64,0.0892,1.1302,0.0716,0.0809,0.029,0.0921,0.9079,0.1015,1.02,3.76,-2.06,-0.29,2.70,3.36,0.07,0.21,-13.909,0,0,-29.2,2.3,0,0,2.6,0.0,16.5,6,2
Basic Material,Allkem,AKE,BM 03,2018,42.57,41.83,35.89,-1.58,42.57,0.0038,0.1105,0.0332,0.0037,0.011,0.0396,0.9604,0.0413,-0.44,5.68,-1.66,-0.67,1.95,0.36,0.03,0.05,-16.451,0,0,-31.1,1.9,0,0,2.0,0.0,33.6,4,2
Basic Material,Allkem,AKE,BM 03,2019,3.27,2.86,2.52,0.08,3.27,0.0743,0.673,0.0729,0.049,0.27,0.3399,0.6601,0.515,10.26,1.18,30.27,0.02,0.96,16.41,0.07,0.32,16.368,137.2,-80.3,-10.1,0.3,4.7,14.3,0.8,0.0,7.2,6,2
Basic Material,Allkem,AKE,BM 03,2020,2.15,1.86,1.63,-0.1,2.15,-0.0753,-0.6745,0.0673,-0.0586,-0.27,0.3972,0.6028,0.659,5.39,0.15,-22.75,-0.02,2.37,69.95,0.07,0.64,-27.152,-342.7,-31.1,-6.1,0.6,5.6,-24.3,0.7,0.0,5.5,0,2
Basic Material,Allkem,AKE,BM 03,2021,4.33,3.74,3.38,-0.24,4.33,-0.0822,-0.7035,0.0628,-0.0663,-0.22,0.4624,0.5376,0.86,0.43,0.37,28.84,-0.03,0.83,12.91,0.06,0.33,26.81,"3,388.9",-102.6,-15.2,1.7,23.7,-28.9,2.5,0.0,5.8,3,2
Basic Material,Allkem,AKE,BM 03,2022,3.74,3.4,2.98,1.98,3.74,0.0992,0.3971,0.1713,0.0751,0.66,0.3141,0.6859,0.458,-45.02,8.35,2.86,0.31,2.16,17.53,0.17,1.26,636.178,15.1,17.9,49.3,1.3,9.2,32.3,1.5,0.0,7.6,7,2
Basic Material,B2Gold,BTO,BM 04,2013,3.79,3.02,2.56,1.5,3.79,0.0403,0.1237,0.2356,0.0291,0.11,0.2764,0.7236,0.3819,-16.56,1.79,3.00,0.23,3.68,20.72,0.24,1.97,226.419,6.7,11.5,-8.9,0.7,2.6,26.6,0.9,0.0,7.4,4,2
Basic Material,B2Gold,BTO,BM 04,2014,3.1,1.96,1.56,1.38,3.1,-0.4361,-1.3671,0.2297,-0.3145,-1.04,0.28,0.72,0.3889,130.95,4.18,4.58,0.2,2.92,33.69,0.23,2.74,150.155,9.3,27.1,-10.3,0.8,3.3,-5.3,0.8,0.0,4.3,2,2
Basic Material,B2Gold,BTO,BM 04,2015,2.06,1.19,0.86,1.77,2.06,-0.1142,-0.2708,0.2735,-0.0717,-0.23,0.3516,0.6484,0.5423,12.55,1.04,4.84,0.25,3.73,48.01,0.27,5.29,204.147,9.6,-2.5,25.7,0.7,2.2,-2.4,0.7,0.0,4.1,4,2
Basic Material,B2Gold,BTO,BM 04,2016,1.57,0.98,0.82,2.34,1.57,0.0269,0.0573,0.2925,0.0165,0.056,0.3774,0.6226,0.6061,-7.73,2.83,2.70,0.47,2.87,63.72,0.29,6.76,437.963,9.3,119.4,-34.2,1.4,4.0,-26.3,1.6,0.0,4.8,7,2
Basic Material,B2Gold,BTO,BM 04,2017,0.8,0.38,0.3,0.31,0.8,0.0363,0.089,0.2379,0.0229,0.073,0.4166,0.5834,0.7142,-6.34,5.22,4.41,0.14,1.59,43.74,0.24,-6.47,319.154,12.9,33.9,-18.6,1.6,5.5,91.1,2.0,0.0,4.0,5,2
Basic Material,B2Gold,BTO,BM 04,2018,1.75,0.62,0.5,2.18,1.75,0.0175,0.0275,0.4127,0.0177,0.16,0.3513,0.6487,0.5415,-9.72,0.87,1.61,0.5,1.81,0.00,0.41,6.75,758.959,6.1,11.5,18.7,1.4,3.3,18.6,1.8,0.0,5.6,8,2
Basic Material,B2Gold,BTO,BM 04,2019,2.6,1.28,0.85,2.98,2.6,0.143,0.2539,0.4307,0.1177,0.37,0.2353,0.7647,0.3078,-19.17,1.94,1.01,0.78,2.08,0.00,0.43,4.37,811.916,7.9,14.8,46.1,2.0,4.0,39.2,2.3,0.05194,7.9,8,2
Basic Material,B2Gold,BTO,BM 04,2020,2.67,1.83,1.68,3.32,2.67,0.2361,0.3511,0.532,0.2,0.77,0.2087,0.7913,0.2638,-66.46,1.91,0.60,1.35,2.22,0.00,0.53,3.75,"1,497.402",5.4,7.7,9.7,2.2,3.4,9.3,2.4,0.2036,10.1,8,2
Basic Material,B2Gold,BTO,BM 04,2021,4.52,3.35,2.91,3.13,4.52,0.1419,0.2384,0.4948,0.1294,0.5,0.1686,0.8314,0.2027,-83.41,17.45,0.55,1.21,2.26,0.00,0.49,2.16,"1,374.727",3.5,5.0,12.7,1.3,2.1,9.2,1.5,0.2023,11.7,5,2
Basic Material,B2Gold,BTO,BM 04,2022,4.43,3.01,2.79,2.55,4.43,0.0813,0.146,0.4707,0.0779,0.32,0.1547,0.8453,0.183,471.96,23.55,0.62,1.05,2.24,0.00,0.47,2.16,"1,241.465",4.1,7.1,11.4,1.2,2.1,17.3,1.5,0.2166,11.9,4,2
Basic Material,Canfor Corporation,CFP,BM 05,2013,1.71,0.64,0.2,1.11,1.71,0.1431,0.0716,1.1862,0.093,1.61,0.4069,0.5931,0.6861,-35.21,2.42,2.07,0.45,4.32,28.37,1.19,10.24,528.6,7.8,12.4,23.7,2.3,1.3,16.9,2.8,0.0,7.3,9,2
Basic Material,Canfor Corporation,CFP,BM 05,2014,2.12,0.9,0.37,0.91,2.12,0.107,0.0523,1.1759,0.0779,1.28,0.4248,0.5752,0.7384,-27.14,1.98,2.36,0.32,4.25,36.67,1.18,7.02,512.2,8.4,13.0,33.8,2.3,1.3,23.2,2.9,0.0,7.5,5,2
Basic Material,Canfor Corporation,CFP,BM 05,2015,1.56,0.64,0.15,0.4,1.56,0.0152,0.0063,1.1914,0.0279,0.18,0.5059,0.4941,1.0241,-8.17,1.34,4.51,0.15,4.72,20.47,1.19,11.04,369.9,8.3,17.0,20.2,1.6,0.9,51.0,2.0,0.0,5.9,5,2
Basic Material,Canfor Corporation,CFP,BM 05,2016,1.96,0.87,0.31,1.16,1.96,0.0868,0.0356,1.2923,0.0622,1.14,0.4695,0.5305,0.885,-13.23,4.34,2.94,0.38,5.40,25.79,1.29,8.74,522.8,5.5,11.1,21.3,1.2,0.6,17.7,1.4,0.0,6.9,9,2
Basic Material,Canfor Corporation,CFP,BM 05,2017,2.32,1.11,0.55,1.17,2.32,0.1726,0.0757,1.3082,0.1128,2.63,0.4264,0.5736,0.7433,-29.00,8.83,1.87,0.41,4.71,23.64,1.31,6.64,796.3,5.5,8.8,10.3,1.6,0.8,12.7,2.0,0.0,8.4,9,2
Basic Material,Canfor Corporation,CFP,BM 05,2018,2.63,1.15,0.49,1.05,2.63,0.1517,0.0704,1.3119,0.1142,2.78,0.3915,0.6085,0.6433,-37.35,32.30,1.73,0.36,4.26,27.70,1.31,6.03,870.8,1.9,2.5,4.1,0.8,0.4,3.9,1.0,0.0,9.0,8,2
Basic Material,Canfor Corporation,CFP,BM 05,2019,1.46,0.63,0.06,0.21,1.46,-0.1271,-0.0565,1.029,-0.0596,-2.1,0.543,0.457,1.1881,6.63,3.05,36.91,0.08,4.50,17.94,1.03,10.52,66.6,91.5,-9.9,-4.5,0.9,0.7,-5.5,0.9,0.0,5.0,2,2
Basic Material,Canfor Corporation,CFP,BM 05,2020,2.11,1.12,0.49,1.27,2.11,0.2067,0.0998,1.0676,0.1096,4.35,0.4845,0.5155,0.9398,-26.09,17.57,2.27,0.43,4.21,15.18,1.07,5.77,"1,091.1",6.4,15.7,6.5,1.3,0.8,17.0,1.5,0.0,8.0,8,2
Basic Material,Canfor Corporation,CFP,BM 05,2021,2.92,1.84,1.25,1.77,2.92,0.3346,0.1746,1.2447,0.2363,10.74,0.3506,0.6494,0.54,-107.56,4.11,0.86,0.88,3.56,17.86,1.24,3.69,"2,531.3",1.2,1.4,1.9,0.8,0.4,2.3,1.1,0.0,12.1,9,2
Basic Material,Canfor Corporation,CFP,BM 05,2022,3.47,2.13,1.44,1.26,3.47,0.1653,0.106,1.102,0.1278,6.39,0.2933,0.7067,0.415,155.13,55.10,1.24,0.56,4.06,22.10,1.1,3.40,"1,590.1",1.5,1.9,5.5,0.5,0.3,3.4,0.6,0.0,11.5,4,2
Basic Material,Capstone Mining,CS,BM 06,2013,1.98,0.98,0.73,0.69,1.98,-0.0083,-0.0329,0.1744,-0.0062,-0.031,0.3123,0.6877,0.4541,-1.79,23.86,22.14,0.16,1.47,29.44,0.17,2.37,28.537,9.8,22.0,-37.7,0.6,3.2,35.2,1.0,0.0,6.5,3,2
Basic Material,Capstone Mining,CS,BM 06,2014,1.66,1.12,0.93,1.19,1.66,-0.0166,-0.0322,0.3551,-0.0121,-0.064,0.3087,0.6913,0.4465,-2.02,2.33,2.88,0.34,4.73,68.75,0.36,6.16,229.614,7.1,21.1,-42.7,0.6,1.5,-63.5,0.6,0.0,6.6,5,2
Basic Material,Capstone Mining,CS,BM 06,2015,3.49,2.16,1.56,0.39,3.49,-0.2008,-0.482,0.2684,-0.1605,-0.74,0.356,0.644,0.5527,14.34,0.08,6.97,0.05,3.89,70.46,0.27,2.59,110.986,5.9,-2.1,20.3,0.4,1.1,-0.6,0.1,0.0,4.9,3,2
Basic Material,Capstone Mining,CS,BM 06,2016,2.96,2.08,1.5,1.44,2.96,-0.1711,-0.2645,0.3795,-0.1415,-0.49,0.4131,0.5869,0.704,8.48,3.11,4.99,0.22,4.38,19.93,0.38,3.09,155.145,6.9,835.4,61.3,0.6,1.6,-10.7,0.4,0.0,4.5,5,2
Basic Material,Capstone Mining,CS,BM 06,2017,4.17,2.67,1.94,1.88,4.17,0.0622,0.1283,0.3074,0.0393,0.15,0.3659,0.6341,0.5771,-4.71,1.59,4.22,0.22,3.01,33.47,0.31,2.27,152.561,9.7,-4.8,15.3,0.7,1.6,-3.9,0.6,0.0,6.0,8,2
Basic Material,Capstone Mining,CS,BM 06,2018,2.01,1.36,0.29,1.27,2.01,-0.0266,-0.0545,0.3113,-0.0176,0.029,0.3621,0.6379,0.5676,-3.36,1.81,3.90,0.27,4.09,48.79,0.31,4.01,169.3,2.7,5.8,18.1,0.4,1.0,2.9,0.2,0.0,5.7,4,2
Basic Material,Capstone Mining,CS,BM 06,2019,2.23,1.36,0.72,1.68,2.23,-0.0184,-0.0383,0.3145,-0.0122,0.037,0.3455,0.6545,0.5279,-0.74,1.76,5.69,0.2,6.20,20.65,0.31,6.16,104.991,5.3,16.9,9.9,0.5,1.3,-13.4,0.3,0.0,5.4,6,2
Basic Material,Capstone Mining,CS,BM 06,2020,1.68,1.06,0.6,1.57,1.68,0.0141,0.0277,0.3261,0.0089,0.041,0.361,0.639,0.565,-2.69,1.69,5.19,0.29,5.00,24.47,0.33,7.09,123.13,14.4,"4,987.7",-184.5,1.0,2.5,-461.3,1.0,0.0,5.4,7,2
Basic Material,Capstone Mining,CS,BM 06,2021,1.57,1.3,1.14,2.4,1.57,0.2232,0.2854,0.4599,0.1463,0.71,0.4118,0.5882,0.7,-18.79,2.32,1.64,0.78,5.45,32.20,0.46,6.05,549.164,4.3,5.0,5.7,1.6,2.2,8.6,1.9,0.0,6.9,7,2
Basic Material,Capstone Mining,CS,BM 06,2022,1.4,1.05,0.42,0.21,1.4,0.0384,0.0943,0.2409,0.0253,0.26,0.409,0.591,0.6922,-215.46,0.32,6.38,0.04,6.36,9.03,0.24,7.92,467.076,13.1,20.2,-10.6,1.1,3.5,28.8,1.3,0.0,5.4,2,2
Basic Material,CCL Industries Inc,CCLb,BM 07,2013,1.41,1.08,0.38,0.61,1.41,0.1017,0.0548,0.7867,0.0431,0.61,0.5761,0.4239,1.3589,-7.38,1.35,4.08,0.24,7.78,5.44,0.79,8.37,338.776,10.9,17.4,34.7,1.8,2.0,26.2,2.8,0.086,7.2,4,2
Basic Material,CCL Industries Inc,CCLb,BM 07,2014,1.37,1.05,0.37,0.67,1.37,0.1781,0.0838,0.9875,0.0827,1.26,0.5355,0.4645,1.1529,-14.34,1.48,2.91,0.29,9.84,7.10,0.99,11.66,481.471,10.3,14.9,18.3,2.5,1.9,22.7,3.6,0.24,7.9,7,2
Basic Material,CCL Industries Inc,CCLb,BM 07,2015,1.35,1.06,0.44,0.52,1.35,0.1819,0.0971,0.8484,0.0824,1.7,0.5473,0.4527,1.2087,-19.26,3.88,3.22,0.24,8.36,6.15,0.85,9.59,608.224,14.5,20.0,28.8,3.7,2.8,29.0,5.2,0.3,7.8,5,2
Basic Material,CCL Industries Inc,CCLb,BM 07,2016,1.83,1.44,0.65,0.62,1.83,0.1954,0.0873,0.8495,0.074,1.98,0.6206,0.3794,1.6356,-15.54,1.68,3.83,0.19,7.99,6.30,0.85,5.27,758.2,13.9,18.8,48.9,3.0,2.8,28.4,5.2,0.4,8.4,6,2
Basic Material,CCL Industries Inc,CCLb,BM 07,2017,1.42,1.1,0.43,0.55,1.42,0.2197,0.0997,0.774,0.0772,2.7,0.6488,0.3512,1.8472,-9.87,1.57,4.19,0.18,7.77,6.30,0.77,8.62,950.9,14.0,19.5,32.0,2.7,2.7,25.3,5.1,0.46,7.9,5,2
Basic Material,CCL Industries Inc,CCLb,BM 07,2018,1.58,1.19,0.44,0.57,1.58,0.1746,0.0904,0.7345,0.0664,2.64,0.6196,0.3804,1.629,-9.01,0.80,4.41,0.18,6.97,6.09,0.73,6.63,987.2,10.9,15.0,24.0,2.2,2.2,16.9,3.6,0.52,8.1,5,2
Basic Material,CCL Industries Inc,CCLb,BM 07,2019,1.83,1.41,0.61,0.68,1.83,0.1646,0.0897,0.7561,0.0678,2.68,0.5883,0.4117,1.4288,-8.36,1.86,4.06,0.19,7.91,7.07,0.76,5.56,"1,019.4",11.6,16.2,27.1,2.2,2.2,20.3,3.5,0.68,8.6,6,2
Basic Material,CCL Industries Inc,CCLb,BM 07,2020,1.76,1.34,0.56,0.7,1.76,0.1614,0.101,0.7145,0.0722,2.96,0.5526,0.4474,1.2353,-10.95,0.66,3.77,0.22,7.01,6.47,0.71,5.45,"1,075.6",11.6,16.2,20.4,2.1,2.3,21.2,3.3,0.72,8.9,6,2
Basic Material,CCL Industries Inc,CCLb,BM 07,2021,1.73,1.25,0.42,0.59,1.73,0.1599,0.1045,0.7516,0.0785,3.33,0.5088,0.4912,1.0357,-13.71,2.25,3.44,0.22,6.11,6.04,0.75,5.57,"1,127.9",11.9,16.2,23.8,2.4,2.4,20.3,3.3,0.84,9.3,6,2
Basic Material,CCL Industries Inc,CCLb,BM 07,2022,1.88,1.36,0.56,0.66,1.88,0.146,0.0976,0.7366,0.0719,3.5,0.5077,0.4923,1.0314,-12.50,1.26,3.73,0.23,5.94,6.55,0.74,4.84,"1,179.4",11.0,15.2,27.3,2.0,2.0,18.5,2.7,0.96,9.1,5,2
Basic Material,Centamin,CEE,BM 08,2013,3.44,1.71,1.35,3.13,3.44,0.1517,0.3651,0.3879,0.1416,0.18,0.0661,0.9339,0.0708,265.63,355.29,0.29,2.85,1.67,20.43,0.39,2.64,317.345,2.1,2.4,9.4,0.6,1.3,4.0,0.7,0.0,21.8,4,2
Basic Material,Centamin,CEE,BM 08,2014,8.54,4.45,3.66,3.39,8.54,0.0612,0.1726,0.3448,0.0595,0.083,0.0273,0.9727,0.028,197.85,283.79,0.16,3.12,2.10,19.64,0.34,1.82,271.837,4.5,7.3,19.7,0.7,2.2,13.4,0.8,0.0,44.3,4,2
